URL,Title,Price,Availability,Rating,created_at
http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,A Light in the Attic,£51.77,In stock,3,2026-01-31 07:45:19.745292
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet,£53.74,In stock,1,2026-01-31 07:45:19.783593
http://books.toscrape.com/catalogue/soumission_998/index.html,Soumission,£50.10,In stock,1,2026-01-31 07:45:19.810999
http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Sharp Objects,£47.82,In stock,4,2026-01-31 07:45:19.837027
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,£54.23,In stock,5,2026-01-31 07:45:19.863301
http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,The Requiem Red,£22.65,In stock,1,2026-01-31 07:45:19.894524
http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock,4,2026-01-31 07:45:19.930678
http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock,3,2026-01-31 07:45:19.961977
http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock,4,2026-01-31 07:45:19.991894
http://books.toscrape.com/catalogue/the-black-maria_991/index.html,The Black Maria,£52.15,In stock,1,2026-01-31 07:45:20.029256
http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock,2,2026-01-31 07:45:20.061428
http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,£20.66,In stock,4,2026-01-31 07:45:20.100194
http://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free,£17.46,In stock,5,2026-01-31 07:45:20.129823
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,5,2026-01-31 07:45:20.157627
http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again,£35.02,In stock,5,2026-01-31 07:45:20.196910
http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock,3,2026-01-31 07:45:20.237100
http://books.toscrape.com/catalogue/olio_984/index.html,Olio,£23.88,In stock,1,2026-01-31 07:45:20.266820
http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,1,2026-01-31 07:45:20.289647
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,£51.33,In stock,2,2026-01-31 07:45:20.320897
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,£45.17,In stock,2,2026-01-31 07:45:20.353625
http://books.toscrape.com/catalogue/in-her-wake_980/index.html,In Her Wake,£12.84,In stock,1,2026-01-31 07:45:21.815405
http://books.toscrape.com/catalogue/how-music-works_979/index.html,How Music Works,£37.32,In stock,2,2026-01-31 07:45:21.844510
http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock,3,2026-01-31 07:45:21.880365
http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Chase Me (Paris Nights #2),£25.27,In stock,5,2026-01-31 07:45:21.911765
http://books.toscrape.com/catalogue/black-dust_976/index.html,Black Dust,£34.53,In stock,5,2026-01-31 07:45:21.963546
http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Birdsong: A Story in Pictures,£54.64,In stock,3,2026-01-31 07:45:22.001797
http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock,3,2026-01-31 07:45:22.036976
http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Aladdin and His Wonderful Lamp,£53.13,In stock,3,2026-01-31 07:45:22.070278
http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,£40.30,In stock,5,2026-01-31 07:45:22.098276
http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Wall and Piece,£44.18,In stock,4,2026-01-31 07:45:22.128616
http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In stock,5,2026-01-31 07:45:22.159217
http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In stock,3,2026-01-31 07:45:22.191769
http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,The Elephant Tree,£23.82,In stock,5,2026-01-31 07:45:22.228869
http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,The Bear and the Piano,£36.89,In stock,1,2026-01-31 07:45:22.265782
http://books.toscrape.com/catalogue/sophies-world_966/index.html,Sophie's World,£15.94,In stock,5,2026-01-31 07:45:22.309264
http://books.toscrape.com/catalogue/penny-maybe_965/index.html,Penny Maybe,£33.29,In stock,3,2026-01-31 07:45:22.352837
http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Maude (1883-1993):She Grew Up with the country,£18.02,In stock,2,2026-01-31 07:45:22.380489
http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,"In a Dark, Dark Wood",£19.63,In stock,1,2026-01-31 07:45:22.411225
http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Behind Closed Doors,£52.22,In stock,4,2026-01-31 07:45:22.539758
http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,You can't bury them all: Poems,£33.63,In stock,2,2026-01-31 07:45:22.607327
http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Slow States of Collapse: Poems,£57.31,In stock,3,2026-01-31 07:45:24.047188
http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Reasons to Stay Alive,£26.41,In stock,2,2026-01-31 07:45:24.079747
http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Private Paris (Private #10),£47.61,In stock,5,2026-01-31 07:45:24.115439
http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,In stock,5,2026-01-31 07:45:24.137378
http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,Without Borders (Wanderlove #1),£45.07,In stock,2,2026-01-31 07:45:24.163678
http://books.toscrape.com/catalogue/when-we-collided_955/index.html,When We Collided,£31.77,In stock,1,2026-01-31 07:45:24.188914
http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,"We Love You, Charlie Freeman",£50.27,In stock,5,2026-01-31 07:45:24.224353
http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Untitled Collection: Sabbath Poems 2014,£14.27,In stock,4,2026-01-31 07:45:24.255244
http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,In stock,4,2026-01-31 07:45:24.284368
http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Unicorn Tracks,£18.78,In stock,3,2026-01-31 07:45:24.321359
http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,In stock,1,2026-01-31 07:45:24.359524
http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,In stock,1,2026-01-31 07:45:24.386057
http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,In stock,3,2026-01-31 07:45:24.421372
http://books.toscrape.com/catalogue/this-one-summer_947/index.html,This One Summer,£19.49,In stock,4,2026-01-31 07:45:24.465485
http://books.toscrape.com/catalogue/thirst_946/index.html,Thirst,£17.27,In stock,5,2026-01-31 07:45:24.495802
http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,The Torch Is Passed: A Harding Family Story,£19.09,In stock,1,2026-01-31 07:45:24.533507
http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,The Secret of Dreadwillow Carse,£56.13,In stock,1,2026-01-31 07:45:24.574972
http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,In stock,1,2026-01-31 07:45:24.604614
http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,The Past Never Ends,£56.50,In stock,4,2026-01-31 07:45:24.636509
http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,The Natural History of Us (The Fine Art of Pretending #2),£45.22,In stock,3,2026-01-31 07:45:24.668637
http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,The Nameless City (The Nameless City #1),£38.16,In stock,4,2026-01-31 07:45:26.210693
http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,The Murder That Never Was (Forensic Instincts #5),£54.11,In stock,3,2026-01-31 07:45:26.247150
http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,In stock,4,2026-01-31 07:45:26.286205
http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,In stock,4,2026-01-31 07:45:26.316337
http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,In stock,3,2026-01-31 07:45:26.367293
http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,In stock,5,2026-01-31 07:45:26.407362
http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,In stock,1,2026-01-31 07:45:26.459058
http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,In stock,1,2026-01-31 07:45:26.486782
http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,The Death of Humanity: and the Case for Life,£58.11,In stock,4,2026-01-31 07:45:26.519560
http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,In stock,3,2026-01-31 07:45:26.553931
http://books.toscrape.com/catalogue/the-art-forger_930/index.html,The Art Forger,£40.76,In stock,3,2026-01-31 07:45:26.597824
http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,In stock,1,2026-01-31 07:45:26.641849
http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,In stock,5,2026-01-31 07:45:26.674338
http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,In stock,4,2026-01-31 07:45:26.701653
http://books.toscrape.com/catalogue/soul-reader_926/index.html,Soul Reader,£39.58,In stock,2,2026-01-31 07:45:26.733065
http://books.toscrape.com/catalogue/security_925/index.html,Security,£39.25,In stock,2,2026-01-31 07:45:26.764022
http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,In stock,3,2026-01-31 07:45:26.793398
http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,In stock,2,2026-01-31 07:45:26.824999
http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,In stock,2,2026-01-31 07:45:26.858121
http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,In stock,3,2026-01-31 07:45:26.895006
http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,In stock,5,2026-01-31 07:45:28.345210
http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,Princess Between Worlds (Wide-Awake Princess #5),£13.34,In stock,5,2026-01-31 07:45:28.388112
http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,"Pop Gun War, Volume 1: Gift",£18.97,In stock,1,2026-01-31 07:45:28.424173
http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,In stock,2,2026-01-31 07:45:28.454379
http://books.toscrape.com/catalogue/patience_916/index.html,Patience,£10.16,In stock,3,2026-01-31 07:45:28.489931
http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,In stock,4,2026-01-31 07:45:28.516510
http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,In stock,1,2026-01-31 07:45:28.547448
http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,In stock,1,2026-01-31 07:45:28.575217
http://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,On a Midnight Clear,£14.07,In stock,3,2026-01-31 07:45:28.607859
http://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,Obsidian (Lux #1),£14.86,In stock,2,2026-01-31 07:45:28.655187
http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,My Paris Kitchen: Recipes and Stories,£33.37,In stock,2,2026-01-31 07:45:28.693399
http://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,Masks and Shadows,£56.40,In stock,2,2026-01-31 07:45:28.730213
http://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,In stock,4,2026-01-31 07:45:28.758294
http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,In stock,2,2026-01-31 07:45:28.787560
http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,In stock,3,2026-01-31 07:45:28.819885
http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,In stock,2,2026-01-31 07:45:28.849822
http://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,In stock,1,2026-01-31 07:45:28.894187
http://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,In stock,2,2026-01-31 07:45:28.935341
http://books.toscrape.com/catalogue/join_902/index.html,Join,£35.67,In stock,5,2026-01-31 07:45:28.964902
http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,In the Country We Love: My Family Divided,£22.00,In stock,4,2026-01-31 07:45:28.997916
